n_count	p_count	n_member	p_member
0.244140625	-0.002	0.030517578125	0.0
0.48828125	0.028	0.06103515625	0.000539956803456
0.732421875	-0.000666666666667	0.091552734375	0.00647948164147
0.9765625	0.011	0.1220703125	0.0226781857451
1.220703125	0.0208	0.152587890625	0.0518358531317
1.46484375	0.018	0.18310546875	0.0963822894168
1.708984375	0.0237142857143	0.213623046875	0.169816414687
1.953125	0.02625	0.244140625	0.25
2.197265625	0.0195555555556	0.274658203125	0.332073434125
2.44140625	0.0146	0.30517578125	0.415766738661
2.685546875	0.0294545454545	0.335693359375	0.492980561555
2.9296875	0.041	0.3662109375	0.56722462203
3.173828125	0.0336923076923	0.396728515625	0.638498920086
3.41796875	0.0377142857143	0.42724609375	0.705183585313
3.662109375	0.0365333333333	0.457763671875	0.752429805616
3.90625	0.00125	0.48828125	0.791036717063
4.150390625	-0.0329411764706	0.518798828125	0.825323974082
4.39453125	-0.0388888888889	0.54931640625	0.858801295896
4.638671875	-0.0322105263158	0.579833984375	0.883369330454
4.8828125	-0.062	0.6103515625	0.904967602592
5.126953125	-0.053619047619	0.640869140625	0.920896328294
5.37109375	-0.058	0.67138671875	0.93277537797
5.615234375	-0.0846956521739	0.701904296875	0.945194384449
5.859375	-0.0535833333333	0.732421875	0.958963282937
6.103515625	-0.04432	0.762939453125	0.968412526998
6.34765625	-0.0523846153846	0.79345703125	0.973272138229
6.591796875	-0.0874814814815	0.823974609375	0.979211663067
6.8359375	-0.0874285714286	0.8544921875	0.9843412527
7.080078125	0.0768965517241	0.885009765625	0.986501079914
7.32421875	0.041	0.91552734375	0.99055075594
7.568359375	0.00741935483871	0.946044921875	0.992710583153
