b   v
16 0.8281120044358192
32 0.7553488372093023
32 0.815015015015015
32 0.7773404554399775
32 0.8895226658661063
32 0.9056910569105691
32 0.8281120044358192
32 0.7880254777070064
32 0.9055158324821246
32 0.7180232558139535
64 0.7553488372093023
64 0.5893263911487147
64 0.815015015015015
64 0.7773404554399775
64 0.6264441591784339
64 0.2768984527832118
64 0.8895226658661063
64 0.6738809640924742
64 0.6423017107309487
64 0.9056910569105691
64 0.8281120044358192
64 0.7880254777070064
64 0.9055158324821246
64 0.6907689101896228
64 0.4583615436696005
64 0.28010910616869494
64 0.7180232558139535
64 0.2428193114687309
128 0.3031460265502819
128 0.1923679060665362
128 0.31487286659700453
128 0.2574089754445385
128 0.3011771900321052
128 0.2587744261051034
128 0.2847669571807503
128 0.23059617547806524
128 0.2655443322109989
128 0.1742861858392474
128 0.2987938596491228
128 0.2897196261682243
128 0.2915106117353308
128 0.32331352673890246
128 0.19094740700018326
128 0.3051077293958114
128 0.29051937345424567
128 0.24845559845559845
128 0.32174704276615107
128 0.15346075338652812
128 0.2665379891208984
128 0.30817837154721067
128 0.28925108314421294
128 0.2265151515151515
128 0.30986887508626637
128 0.28079543362180076
128 0.27334889926617745
128 0.2980591497227357
128 0.276043863348798
128 0.24285460678146636
128 0.27734827986084265
128 0.24909871244635193
128 0.15594910591471803
128 0.26020317234004636
128 0.3018867924528302
128 0.29670765569218566
128 0.2721646035463366
128 0.24848484848484848
128 0.2597963058864146
128 0.27794117647058825
128 0.23106947697111632
128 0.3140544808527438
128 0.25850567044696465
128 0.08399149453219927
128 0.19807073954983923
128 0.28140026928255435
128 0.1519867549668874
128 0.2513533020570191
128 0.2732594605895881
128 0.24186390532544377
128 0.273892347125595
128 0.20733517065931736
128 0.25
128 0.30036630036630035
128 0.28430141287284144
128 0.27242130271233417
128 0.26807727690892363
128 0.31943746860873934
128 0.2956378299120235
128 0.24261275272161742
128 0.293036750483559
128 0.2940112540192926
128 0.15769035961505995
128 0.2897415818324197
128 0.194296658863588
128 0.18302180685358255
128 0.2846361185983827
128 0.26906990639314876
128 0.28975095785440613
128 0.3022493994321904
128 0.27804295942720764
128 0.28323806011432784
128 0.30495914877446323
128 0.28090737240075614
128 0.35105714883818295
128 0.08608297941849069
128 0.23564393235458092
128 0.2798172621961168
128 0.1877442551195873
128 0.29270511187920684
128 0.3171899946780202
128 0.12634720610180733
128 0.16823326299635527
128 0.5329341317365269
128 0.22333775336237924
128 0.2503183554666182
128 0.27468619246861925
128 0.3131868131868132
128 0.2740538806927518
128 0.27617176536626437
128 0.2890184645286686
128 0.31143451143451145
128 0.1973924977127173
128 0.30993218986836857
128 0.23661867847914358
128 0.09147230320699709
128 0.26136363636363635
128 0.29775092312856666
128 0.19450571485863244
128 0.28642062511036553
128 0.10117302052785923
128 0.2971576227390181
128 0.28578654527061204
128 0.2943044254812463
128 0.27031144211239
128 0.28856987097946574
128 0.3130971337579618
128 0.32422145328719726
128 0.2653962351847548
128 0.10301795492168599
128 0.2861005949161709
128 0.2538593481989708
128 0.27356456986086614
128 0.2721370604147881
128 0.17927256125399482
128 0.2869844873250095
128 0.2676928853012953
128 0.29616020576887747
128 0.25699745547073793
128 0.2919986144786976
128 0.2500500100020004
128 0.15509915014164305
128 0.3181345353675451
128 0.08987417615338526
128 0.2402908610147083
128 0.24653215636822196
128 0.321159845843274
128 0.25622775800711745
128 0.2836098619941076
128 0.3078817733990148
128 0.18904244817374136
128 0.2932330827067669
128 0.30397540083461455
128 0.25892255892255894
128 0.2788184438040346
128 0.21614006842423023
128 0.3091051191871825
128 0.29815354713313896
128 0.2707516921980762
128 0.2962816455696203
128 0.1537598204264871
128 0.30593685655456415
128 0.2914317925591883
128 0.3000914913083257
128 0.2695327836670593
128 0.23495592180912228
128 0.3010928961748634
128 0.3055555555555556
128 0.18010865022983702
128 0.28902337228714525
