k   mean    stdev    max
25	0.3570908245857653	0.6776472698025808	3.0682593856655296
50	0.2842434024686407	0.5512675854174683	2.5597269624573387
75	0.21908663810234094	0.4221544640918614	1.6856
100	0.1832393308684526	0.34932732806820205	1.3499476439790579
125	0.16282231289565552	0.3074410150051449	1.1485235602094241
150	0.14891930356266894	0.2824239579987969	1.1785714285714288
175	0.13687811160373747	0.25814769377442487	1.116326530612245
200	0.12521619661037725	0.23611944016362	1.0696428571428573
225	0.11598443983406301	0.2168727434753261	0.8396825396825398
250	0.10868521633329332	0.20423669262246238	0.742857142857143
275	0.10369756801201466	0.19321240558537978	0.6508573277256551
300	0.10051121795757424	0.18493797361703201	0.640244498777506
325	0.09755987577608431	0.17920798716495687	0.6323664122137405
350	0.09359918848305186	0.172627669737751	0.5157688113413306
375	0.08948698177954269	0.16631055161212172	0.5279482200647249
400	0.086010770555609	0.16110089177999473	0.5552330097087378
425	0.08206795806756138	0.1547139119655932	0.6563472301541976
450	0.07944323197248146	0.1496876197417415	0.6370873786407767
475	0.07774552668223919	0.14562970792346974	0.6198548799182421
500	0.07621139330255812	0.14239327936197685	0.5716038834951456
525	0.07371108920647684	0.13712996604193994	0.5591308368007395
550	0.07167296125935471	0.13265469709918012	0.5477917034421887
575	0.06948502250476052	0.12887893368935446	0.5089674968341071
600	0.0680526148366171	0.12573632594791095	0.5006634304207118
625	0.06630070119726451	0.12224599246940315	0.4668302912621358
650	0.06475346069636945	0.11979258486004665	0.4607856609410006
675	0.06356192666028183	0.11767032046857613	0.4309356346637899
700	0.062139904638445466	0.11517194618531706	0.4499916782246878
725	0.06111529903209648	0.11293493197205315	0.42257248074991627
750	0.059983512587063526	0.11057158968331676	0.37515339805825243
775	0.058708018739949366	0.10816938234133527	0.3492632417363601
800	0.057515715032201535	0.10647171151974971	0.3695987654320988
825	0.05638645194045593	0.10456231582882305	0.38870183314627765
850	0.055419404243259196	0.10320705224228363	0.373903743315508
875	0.05498158524904256	0.10282691369180658	0.40489405331510586
900	0.05445049216898691	0.10190375536779024	0.36586921850079746
925	0.05383375381145981	0.10037668928723831	0.34574574574574585
950	0.05276360276260382	0.09904156320092217	0.33641975308641986
975	0.05197063689019686	0.09745416597542422	0.32757201646090534
1000	0.051248703260156445	0.09614657064746343	0.3210795454545455
