i e e2 e3
0 0.0 2953.0 0.0
200 0.00909514925373 14.1812810945 0.00909514925373
400 0.00954644638404 6.85536159601 0.00954644638404
600 0.00933340266223 4.40978577371 0.00933340266223
800 0.00988998127341 3.18913857678 0.00988998127341
1000 0.0102865884116 2.4592750999 0.0102865884116
1200 0.0103689633639 1.97357670691 0.0103689633639
1400 0.0090448786581 1.627832798 0.0090448786581
1600 0.00959361336665 1.36987624922 0.00959361336665
1800 0.00859765408107 1.17101610217 0.00859765408107
2000 0.00932346326837 1.01247032734 0.00932346326837
2200 0.00992446615175 0.883845411177 0.00992446615175
2400 0.0100348812995 0.777879008746 0.0100348812995
2600 0.0101223087274 0.688238898501 0.0101223087274
2800 0.00980676544091 0.612270171367 0.00980676544091
3000 0.00967906531156 0.547676816061 0.00967906531156
3200 0.0109145579506 0.491643236489 0.0116631669749
3400 0.0111456189356 0.442663922376 0.0117755099942
3600 0.0111991460705 0.399294466815 0.0124560400182
3800 0.0119376479874 0.361693468824 0.012476168484
4000 0.0114893151712 0.328675643589 0.0122141612257
4200 0.010224500119 0.298968995477 0.0111477676339
4400 0.0101077880027 0.272622699387 0.0107850406387
4600 0.0102049826125 0.248780835688 0.0106594949082
4800 0.0113029837534 0.227071833993 0.0110968474012
5000 0.0111383973205 0.208661392721 0.0110497961112
5200 0.0112388242646 0.191105075947 0.0101403629614
5400 0.0108023977041 0.175332114423 0.00956207672909
5600 0.0110220273166 0.160719068024 0.00979756510951
5800 0.0115901353215 0.147663118428 0.0108295056609
6000 0.0129535702383 0.135271725546 0.0115834640777
6200 0.0136041565876 0.124823617159 0.0116817295366
6400 0.0135135135135 0.114952741759 0.011274408014
6600 0.0131395811241 0.106281245266 0.0106061783947
6800 0.0127899389796 0.0977843331863 0.0100854392563
7000 0.0129535066419 0.0900451721183 0.0100525856283
7200 0.0132143105124 0.0825254304958 0.0111946561434
7400 0.0131168929874 0.0761446932847 0.0106540304794
7600 0.0133267826602 0.0695858275227 0.0103892686849
7800 0.0141267946417 0.0633232117677 0.0111083890942
8000 0.0153926071741 0.0583247406574 0.0112507987756
8200 0.0151086757712 0.0541092549689 0.0107227982557
8400 0.0154594691108 0.0501725985002 0.0105408924107
8600 0.0160791623067 0.0459830252296 0.0110053369954
8800 0.0165109078514 0.042200460175 0.0108548080163
9000 0.0176404010665 0.0389661565382 0.0108452536729
9200 0.0180635936311 0.0358741577002 0.0108071380777
9400 0.0176759786193 0.0329569327731 0.010850961476
9600 0.0183200317675 0.0308903369441 0.0103877789825
9800 0.0192231660035 0.0282018416488 0.0107922328019
10000 0.0242647610239 0.0261411358864 0.0104350682509
10200 0.024345039702 0.0241152828154 0.0103405935147
10400 0.0224903254495 0.0224903254495 0.00975748583771
10600 0.0200438048297 0.0200438048297 0.0100909553019
10800 0.0186253008981 0.0186253008981 0.0101664117084
11000 0.0172186051268 0.0172186051268 0.00935498304444
11200 0.0158844634408 0.0158844634408 0.00987320985316
11400 0.0151741075344 0.0151741075344 0.00978330331662
11600 0.0141582622188 0.0141582622188 0.0100367403498
11800 0.0130391492246 0.0130391492246 0.0104521556571
12000 0.012649987501 0.012649987501 0.0107062804662
12200 0.0126949123023 0.0126949123023 0.0112156700268
12400 0.0120554793968 0.0120554793968 0.0113095537344
12600 0.0117463395762 0.0117463395762 0.0109637874863
12800 0.0114578450902 0.0114578450902 0.0107973943455
13000 0.0117863529728 0.0117863529728 0.0115201413028
13200 0.0115722767215 0.0115722767215 0.011624109462
13400 0.0114053988508 0.0114053988508 0.0112505942788
13600 0.0111067200941 0.0111067200941 0.0109525998244
