i e e2 e3
26800 0.0120372140965 0.0120372140965 0.0120352531252
27000 0.0118392605829 0.0118392605829 0.011837432637
27200 0.0117114260505 0.0117114260505 0.0117135241473
27400 0.0117519661691 0.0117519661691 0.0117504207644
27600 0.0117556881997 0.0117556881997 0.0117560523773
27800 0.011614352901 0.011614352901 0.0116156804404
28000 0.0114923350952 0.0114923350952 0.0114910431042
28200 0.0119216738768 0.0119216738768 0.0119219656211
28400 0.0121595630436 0.0121595630436 0.0121605572292
28600 0.0121411838747 0.0121411838747 0.0121401039935
28800 0.0121691738134 0.0121691738134 0.0121689989433
29000 0.0120184433295 0.0120184433295 0.0120171223439
29200 0.0117873745762 0.0117873745762 0.0117872647954
29400 0.011927740553 0.011927740553 0.0119264858047
29600 0.0120271485761 0.0120271485761 0.0120275922163
29800 0.0124875213919 0.0124875213919 0.0124881723471
30000 0.012561560448 0.012561560448 0.0125617296515
