k mean p99
128	0.003925539341029802	0.014896544000995417
256	0.0015677519535174163	0.00873902178534026
384	0.0009242897954536759	0.005054923735755502
512	0.000622804272642489	0.0037330471479972154
640	0.0004503042562560559	0.0031064495390964383
768	0.00035227471670166825	0.0023008575191049313
896	0.0002847713172910626	0.0021696114722990776
1024	0.0002324874409844755	0.0018527877147684053
1152	0.00020053061562599135	0.0017948175568482006
1280	0.00016809829499802106	0.001246665837143952
1408	0.00014648801923571625	0.0012925042253812769
1536	0.0001288880889486595	0.0009551829616034618
1664	0.00011365553018775899	0.0009499984446449069
1792	0.00010168306673035347	0.000893635486981646
1920	9.193379518473193e-05	0.000850034736263614
2048	8.136227114780129e-05	0.000732248732385598
2176	7.53100518741105e-05	0.0008943955371677854
2304	6.877958147058608e-05	0.0006621602845262879
2432	6.258305135107795e-05	0.0005922667745046139
2560	5.8379664420057815e-05	0.000618076336827688
2688	5.4197711958407346e-05	0.0005374239172136318
2816	4.974231690894109e-05	0.0005343018011011387
2944	4.671922559533346e-05	0.0005141910598189525
3072	4.3060842855898185e-05	0.0005221783266453038
3200	4.1125835197598496e-05	0.00045197685631629287
3328	3.747541383250052e-05	0.00040965875509377817
3456	3.623575785807857e-05	0.00045312678217770453
3584	3.3527097086979324e-05	0.00041610622038344545
3712	3.172148363356831e-05	0.00039337626113373906
3840	3.0156417419062908e-05	0.0003884177891145854
3968	2.8190132933009536e-05	0.000366026897273981
4096	2.6457352931640318e-05	0.0003386464263124577
