b max min
2 0.999713575578162 0.9768723735896596
4 0.997587834475431 0.9491306186845261
8 0.9887359931699261 0.8911493600579604
16 0.961203659344838 0.7771340492348882
32 0.8891410218380386 0.5783351998721223
64 0.7286402387891249 0.3067133140122512
128 0.4487377967373007 0.07910608362115656
256 0.14312179608555256 0.0044249350059081425
512 0.010294916914515673 9.790072826088014e-06
